,temp,DF1,DF2,DF3,DF4,DF5
0,65.0,4.32,4.18,3.96,4.33,4.23
1,60.0,4.18,4.03,3.83,4.18,4.08
2,55.0,4.02,3.88,3.68,4.01,3.92
3,50.0,3.84,3.7,3.52,3.82,3.74
4,47.0,3.71,3.58,3.4,3.7,3.61
5,45.0,3.63,3.5,3.32,3.61,3.53
6,40.0,3.45,3.32,3.15,3.43,3.35
7,35.0,3.25,3.13,2.98,3.23,3.15
8,30.0,2.44,2.85,2.9,2.92,2.9
9,25.0,2.31,2.7,2.74,2.76,2.74
10,20.0,2.18,2.54,2.58,2.6,2.58
11,17.0,2.09,2.43,2.47,2.49,2.46
12,15.0,2.04,2.37,2.41,2.42,2.39
13,10.0,1.88,2.18,2.21,2.22,2.2
14,5.0,1.71,1.98,2.01,2.02,2.0
15,0.0,1.53,1.77,1.8,1.8,1.78
16,-5.0,1.35,1.55,1.58,1.58,1.56
17,-10.0,1.14,1.31,1.33,1.33,1.31
